Date,Close/Last,Volume,Open,High,Low
02/09/2022,$42.98,740186,$42.94,$43.67,$42.7501
02/08/2022,$42.35,849902,$42.01,$42.83,$42.01
02/07/2022,$41.9,780073,$41.65,$42.39,$41.59
02/04/2022,$41.47,656357,$41.34,$41.9,$40.7
02/03/2022,$41.34,1087521,$41.95,$42.595,$41.23
02/02/2022,$41.95,1261151,$43.5,$44,$41.5
02/01/2022,$43.3,808537,$43.75,$43.85,$42.68
01/31/2022,$43.21,721869,$41.38,$43.275,$41.38
01/28/2022,$41.63,599126,$41.06,$41.67,$40.11
01/27/2022,$41.27,511909,$42.07,$42.84,$41.06
01/26/2022,$41.42,813430,$43.13,$43.43,$40.85
01/25/2022,$42,803330,$41.72,$42.61,$40.29
01/24/2022,$42.22,696561,$41.18,$42.36,$40.19
01/21/2022,$42.23,871652,$43.16,$43.16,$41.86
01/20/2022,$43.36,587795,$44.54,$45.34,$43.32
01/19/2022,$44.24,680840,$44.87,$45.0977,$44.05
01/18/2022,$44.61,548333,$45.54,$46.71,$44.44
01/14/2022,$45.9,371074,$45.95,$46.21,$45.17
01/13/2022,$46.25,498888,$46.6,$47.28,$46.08
01/12/2022,$46.22,669469,$47.92,$48,$45.925
01/11/2022,$47.46,799343,$46.34,$47.59,$45.55
01/10/2022,$46.14,623016,$46.62,$46.77,$45.5
01/07/2022,$46.89,556383,$47.02,$47.46,$46.44
01/06/2022,$47.15,304578,$46.75,$47.52,$46.63
01/05/2022,$46.48,487063,$47.54,$48.46,$46.42
01/04/2022,$47.48,448522,$46.99,$47.9493,$46.99
01/03/2022,$47.62,276716,$47.95,$48.49,$47.31
12/31/2021,$47.64,256159,$47.4,$47.97,$47.4
12/30/2021,$47.49,236548,$47.78,$48.25,$47.42
12/29/2021,$47.65,269711,$47.75,$48.36,$47.53
12/28/2021,$47.89,291980,$48.2,$48.59,$47.82
12/27/2021,$48.19,441165,$46.9,$48.23,$46.76
12/23/2021,$46.95,414193,$46.07,$47.44,$45.915
12/22/2021,$45.43,449796,$45.69,$45.94,$44.94
12/21/2021,$45.69,447309,$45.21,$45.72,$44.81
12/20/2021,$44.56,521420,$44.72,$44.87,$43.35
12/17/2021,$45.75,821277,$46.21,$47.06,$45.5
12/16/2021,$46.73,600873,$47.14,$47.75,$46.58
12/15/2021,$45.73,633781,$45.33,$45.95,$44.2
12/14/2021,$45.37,936165,$44,$45.63,$43.77
12/13/2021,$44.23,599036,$44.55,$44.81,$44.055
12/10/2021,$44.63,293893,$45.47,$45.74,$44.39
12/09/2021,$45.18,281410,$45.3,$45.92,$45.15
12/08/2021,$45.79,249248,$45.72,$46.095,$45.27
12/07/2021,$45.66,368393,$45.3,$46.29,$45.04
12/06/2021,$44.53,424530,$44.86,$45.2,$44.08
12/03/2021,$44,604503,$45.37,$45.6,$43.4
12/02/2021,$45.43,855900,$43.68,$45.58,$43.3429
12/01/2021,$43.14,1096533,$45.85,$45.99,$43.06
11/30/2021,$44.73,742185,$46.9,$47.11,$44.34
11/29/2021,$47.46,365359,$48.04,$48.24,$47.03
11/26/2021,$47.31,398103,$47.66,$47.99,$46.785
11/24/2021,$49.05,225283,$49.23,$49.4999,$48.775
11/23/2021,$49.4,419802,$48.48,$49.55,$48.2
11/22/2021,$48.58,334258,$49.68,$50.04,$48.47
11/19/2021,$49.07,635106,$48.89,$49.62,$48.61
11/18/2021,$49.25,402255,$49.78,$49.99,$48.47
11/17/2021,$49.59,553869,$49.79,$49.81,$48.9809
11/16/2021,$50,292206,$50,$50.58,$49.51
11/15/2021,$50.02,447040,$50.19,$50.61,$49.24
11/12/2021,$51.1,345929,$51.55,$51.55,$50.85
11/11/2021,$50.98,323257,$50.74,$51.19,$50.495
11/10/2021,$50.6,437326,$51.36,$51.5176,$50.11
11/09/2021,$51.6,466603,$51.87,$52.27,$51.1625
11/08/2021,$52.02,637739,$50.55,$52.42,$50.42
11/05/2021,$50.37,508050,$50.91,$51.44,$50.26
11/04/2021,$50.36,571922,$50.53,$51.08,$49.625
11/03/2021,$51.09,578292,$49.51,$51.86,$49.51
11/02/2021,$49.9,637846,$49.5,$49.92,$49.07
11/01/2021,$49.51,665979,$50.03,$50.57,$49.055
10/29/2021,$49.54,481902,$48.58,$49.87,$48.45
10/28/2021,$48.5,870740,$47.75,$49.62,$47.74
10/27/2021,$47.74,1190877,$50.74,$51,$47.7
10/26/2021,$51.23,654395,$51.26,$51.685,$50.8208
10/25/2021,$50.86,680687,$50.42,$50.91,$49.17
10/22/2021,$50.37,540405,$49.12,$50.38,$49
10/21/2021,$49.04,429844,$48.48,$49.05,$47.95
10/20/2021,$48.2,302919,$48.28,$48.75,$48.04
10/19/2021,$48.08,385815,$47.19,$48.09,$46.93
10/18/2021,$46.76,470864,$47,$47.28,$46.535
10/15/2021,$47.23,707929,$48.46,$48.6,$47.23
10/14/2021,$47.75,642442,$47.33,$48,$46.63
10/13/2021,$46.17,736402,$46.22,$46.755,$45.4
10/12/2021,$46.21,807432,$48.43,$48.51,$46.03
